CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1982,5000,1,5000,1,5000,1,5000,6829,0.454,11829,10030,0.667,15030,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1983,500,1,500,1,500,1,500,1090,0.481,1590,1766,0.779,2266,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1984,1000,1,1000,1,1000,1,1000,1514,0.405,2514,2737,0.732,3737,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1985,15000,1,15000,1,15000,1,15000,15321,0.380,30321,25304,0.628,40304,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1986,10000,1,10000,1,10000,1,10000,11287,0.257,21287,33837,0.772,43837,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1987,2000,1,2000,1,2000,1,2000,3342,0.432,5342,5745,0.742,7745,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1988,2000,1,2000,1,2000,1,2000,2063,0.305,4063,4771,0.705,6771,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1989,5000,1,5000,1,5000,1,5000,13428,0.411,18428,27650,0.847,32650,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1990,4000,1,4000,1,4000,1,4000,3904,0.271,7904,10431,0.723,14431,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1991,3000,1,3000,1,3000,1,3000,6770,0.494,9770,10719,0.781,13719,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1992,4500,1,4500,1,4500,1,4500,9366,0.514,13866,13735,0.753,18235,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1993,8150,1,8150,1,8150,1,8150,24690,0.539,32840,37665,0.822,45815,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1994,3875,1,3875,1,3875,1,3875,3944,0.326,7819,8239,0.680,12114,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1995,1035,1,1035,1,1035,1,1035,3650,0.534,4685,5795,0.848,6830,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1996,1543,1,1543,1,1543,1,1543,4610,0.452,6153,8668,0.849,10210,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1997,3000,1,3000,1,3000,1,3000,4085,0.298,7085,10697,0.781,13697,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1998,8190,1,8190,1,8190,1,8190,4363,0.179,12553,16132,0.663,24322,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,1999,1200,1,1200,1,1200,1,1200,2795,0.507,3995,4316,0.782,5516,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2000,500,1,500,1,500,1,500,967,0.540,1467,1291,0.721,1791,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2001,1750,1,1750,1,1750,1,1750,2317,0.329,4067,5303,0.752,7053,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2002,463,1,463,1,463,1,463,1039,0.625,1501,1201,0.722,1663,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2003,1568,1,1568,1,1568,1,1568,3344,0.559,4912,4414,0.738,5981,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2004,586,1,586,1,586,1,586,954,0.365,1540,2025,0.776,2611,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2005,505,1,505,1,505,1,505,465,0.340,970,863,0.631,1368,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2006,1701,1,1701,1,1701,1,1701,1839,0.389,3540,3028,0.640,4729,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2007,2067,1,2067,1,2067,1,2067,2094,0.221,4161,7396,0.782,9463,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2008,2000,1,2000,1,2000,1,2000,1183,0.312,3183,1797,0.473,3797,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2009,1716,1,1716,1,1716,1,1716,1009,0.243,2725,2444,0.588,4160,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2010,1970,1,1970,1,1970,1,1970,1048,0.305,3018,1471,0.427,3441,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2011,2996,1,2996,1,2996,1,2996,1967,0.319,4963,3163,0.514,6159,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2012,1915,1,1915,1,1915,1,1915,1814,0.433,3729,2269,0.542,4184,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2013,2300,1,2300,1,2300,1,2300,2226,0.413,4526,3086,0.573,5386,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2014,4549,1,4549,1,4549,1,4549,2877,0.328,7426,4230,0.482,8779,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2015,4117,1,4117,1,4117,1,4117,4240,0.422,8357,5939,0.591,10056,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2016,3548,1,3548,1,3548,1,3548,941,0.161,4489,2311,0.394,5859,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2017,2140,1,2140,1,2140,1,2140,724,0.230,2864,1001,0.319,3141,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2018,4675,1,4675,1,4675,1,4675,1349,0.205,6024,1913,0.290,6588,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2019,1777,1,1777,1,1777,1,1777,480,0.167,2257,1103,0.383,2880,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2020,4883,1,4883,1,4883,1,4883,1110,0.159,5993,2079,0.299,6962,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2021,11058,1,11058,1,11058,1,11058,2044,0.117,13102,6379,0.366,17437,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2022,21051,1,21051,1,21051,1,21051,3571,0.116,24622,9665,0.315,30716,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-02,SX,DAMDOCHAX/WINIMASIK,2023,11315,1,11315,1,11315,1,11315,2011,0.121,13326,5253,0.317,16568,1,5,5,Damdochax,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1982,20000,1,20000,1,20000,1,20000,25618,0.444,45618,37664,0.653,57664,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1983,2000,1,2000,1,2000,1,2000,3273,0.497,5273,4587,0.696,6587,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1984,6000,1,6000,1,6000,1,6000,6146,0.385,12146,9957,0.624,15957,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1985,15000,1,15000,1,15000,1,15000,11200,0.348,26200,17187,0.534,32187,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1986,25000,1,25000,1,25000,1,25000,22653,0.287,47653,53895,0.683,78895,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1987,7500,1,7500,1,7500,1,7500,7807,0.374,15307,13374,0.641,20874,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1988,2500,1,2500,1,2500,1,2500,2151,0.295,4651,4793,0.657,7293,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1989,15000,1,15000,1,15000,1,15000,28493,0.434,43493,50621,0.771,65621,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1990,14000,1,14000,1,14000,1,14000,9002,0.228,23002,25516,0.646,39516,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1991,2000,1,2000,1,2000,1,2000,3386,0.500,5386,4769,0.705,6769,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1992,5000,1,5000,1,5000,1,5000,8410,0.519,13410,11213,0.692,16213,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1993,12000,1,12000,1,12000,1,12000,34418,0.573,46418,48103,0.800,60103,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1994,2375,1,2375,1,2375,1,2375,2526,0.338,4901,5098,0.682,7473,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1995,1125,1,1125,1,1125,1,1125,4621,0.614,5746,6407,0.851,7532,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1996,1000,1,1000,1,1000,1,1000,2815,0.524,3815,4374,0.814,5374,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1997,9000,1,9000,1,9000,1,9000,15551,0.331,24551,37960,0.808,46960,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1998,3500,1,3500,1,3500,1,3500,1802,0.227,5302,4422,0.558,7922,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,1999,13000,1,13000,1,13000,1,13000,27774,0.524,40774,40050,0.755,53050,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2000,500,1,500,1,500,1,500,1068,0.568,1568,1381,0.734,1881,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2001,1408,1,1408,1,1408,1,1408,1566,0.333,2974,3292,0.700,4700,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2002,5887,1,5887,1,5887,1,5887,15403,0.654,21290,17649,0.750,23536,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
SX_L-24-03,SX,Fred Wright,2003,7078,1,7078,1,7078,1,7078,17279,0.631,24357,20289,0.741,27367,2,5,5,Kwinagees,[LOOKUP CU],Sockeye Model,3
